"model","AgeDecade","DirectChol","pred_BMI"
"group"," 10-19",1.52882352941176,25.006686156979
"group"," 10-19",1.53941176470588,24.9333198974252
"group"," 10-19",1.55,24.8599536378713
"group"," 10-19",1.56058823529412,24.7865873783175
"group"," 10-19",1.57117647058823,24.7132211187637
"group"," 10-19",1.58176470588235,24.6398548592099
"group"," 10-19",1.59235294117647,24.5664885996561
"group"," 10-19",1.60294117647059,24.4931223401023
"group"," 10-19",1.61352941176471,24.4197560805484
"group"," 10-19",1.62411764705882,24.3463898209946
"group"," 10-19",1.63470588235294,24.2730235614408
"group"," 10-19",1.64529411764706,24.199657301887
"group"," 10-19",1.65588235294118,24.1262910423332
"group"," 10-19",1.66647058823529,24.0529247827794
"group"," 10-19",1.67705882352941,23.9795585232256
"group"," 10-19",1.68764705882353,23.9061922636717
"group"," 10-19",1.69823529411765,23.8328260041179
"group"," 10-19",1.70882352941176,23.7594597445641
"group"," 10-19",1.71941176470588,23.6860934850103
"group"," 10-19",1.73,23.6127272254565
"group"," 10-19",1.74058823529412,23.5393609659027
"group"," 10-19",1.75117647058824,23.4659947063489
"group"," 10-19",1.76176470588235,23.392628446795
"group"," 10-19",1.77235294117647,23.3192621872412
"group"," 10-19",1.78294117647059,23.2458959276874
"group"," 10-19",1.79352941176471,23.1725296681336
"group"," 10-19",1.80411764705882,23.0991634085798
"group"," 10-19",1.81470588235294,23.025797149026
"group"," 10-19",1.82529411764706,22.9524308894722
"group"," 10-19",1.83588235294118,22.8790646299183
"group"," 10-19",1.84647058823529,22.8056983703645
"group"," 10-19",1.85705882352941,22.7323321108107
"group"," 10-19",1.86764705882353,22.6589658512569
"group"," 10-19",1.87823529411765,22.5855995917031
"group"," 10-19",1.88882352941176,22.5122333321493
"group"," 10-19",1.89941176470588,22.4388670725955
"group"," 10-19",1.91,22.3655008130416
"group"," 10-19",1.92058823529412,22.2921345534878
"group"," 10-19",1.93117647058823,22.218768293934
"group"," 10-19",1.94176470588235,22.1454020343802
"group"," 10-19",1.95235294117647,22.0720357748264
"group"," 10-19",1.96294117647059,21.9986695152726
"group"," 10-19",1.97352941176471,21.9253032557188
"group"," 10-19",1.98411764705882,21.8519369961649
"group"," 10-19",1.99470588235294,21.7785707366111
"group"," 10-19",2.00529411764706,21.7052044770573
"group"," 10-19",2.01588235294118,21.6318382175035
"group"," 10-19",2.02647058823529,21.5584719579497
"group"," 10-19",2.03705882352941,21.4851056983959
"group"," 10-19",2.04764705882353,21.4117394388421
"group"," 10-19",2.05823529411765,21.3383731792882
"group"," 10-19",2.06882352941176,21.2650069197344
"group"," 10-19",2.07941176470588,21.1916406601806
"group"," 10-19",2.09,21.1182744006268
"group"," 20-29",0.83,32.7556317475401
"group"," 20-29",0.840588235294118,32.6820994295581
"group"," 20-29",0.851176470588235,32.6085671115761
"group"," 20-29",0.861764705882353,32.5350347935941
"group"," 20-29",0.872352941176471,32.4615024756121
"group"," 20-29",0.882941176470588,32.3879701576301
"group"," 20-29",0.893529411764706,32.3144378396481
"group"," 20-29",0.904117647058823,32.2409055216661
"group"," 20-29",0.914705882352941,32.1673732036841
"group"," 20-29",0.925294117647059,32.0938408857021
"group"," 20-29",0.935882352941176,32.0203085677201
"group"," 20-29",0.946470588235294,31.9467762497381
"group"," 20-29",0.957058823529412,31.873243931756
"group"," 20-29",0.967647058823529,31.799711613774
"group"," 20-29",0.978235294117647,31.726179295792
"group"," 20-29",0.988823529411765,31.65264697781
"group"," 20-29",0.999411764705882,31.579114659828
"group"," 20-29",1.01,31.505582341846
"group"," 20-29",1.02058823529412,31.432050023864
"group"," 20-29",1.03117647058824,31.358517705882
"group"," 20-29",1.04176470588235,31.2849853879
"group"," 20-29",1.05235294117647,31.211453069918
"group"," 20-29",1.06294117647059,31.137920751936
"group"," 20-29",1.07352941176471,31.064388433954
"group"," 20-29",1.08411764705882,30.990856115972
"group"," 20-29",1.09470588235294,30.91732379799
"group"," 20-29",1.10529411764706,30.843791480008
"group"," 20-29",1.11588235294118,30.7702591620259
"group"," 20-29",1.12647058823529,30.6967268440439
"group"," 20-29",1.13705882352941,30.6231945260619
